scenario,jour,minute,power_W
Foyer_Modeste,1,491,0.001
Foyer_Modeste,1,492,0.001
Foyer_Modeste,1,493,0.001
Foyer_Modeste,1,494,0.001
Foyer_Modeste,1,495,0.001
Foyer_Modeste,1,496,0.001
Foyer_Modeste,1,497,0.001
Foyer_Modeste,1,498,0.001
Foyer_Modeste,1,499,0.001
Foyer_Modeste,1,500,0.001
Foyer_Modeste,1,501,0.001
Foyer_Modeste,1,502,0.001
Foyer_Modeste,1,503,0.001
Foyer_Modeste,1,504,153.3201990369747
Foyer_Modeste,1,505,153.3201990369747
Foyer_Modeste,1,506,153.3201990369747
Foyer_Modeste,1,507,153.3201990369747
Foyer_Modeste,1,508,153.3201990369747
Foyer_Modeste,1,509,153.3201990369747
Foyer_Modeste,1,510,153.3201990369747
Foyer_Modeste,1,511,153.3201990369747
Foyer_Modeste,1,512,153.3201990369747
Foyer_Modeste,1,513,153.3201990369747
Foyer_Modeste,1,514,153.3201990369747
Foyer_Modeste,1,515,153.3201990369747
Foyer_Modeste,1,516,153.3201990369747
Foyer_Modeste,1,517,153.3201990369747
Foyer_Modeste,1,518,153.3201990369747
Foyer_Modeste,1,519,153.3201990369747
Foyer_Modeste,1,520,153.3201990369747
Foyer_Modeste,1,521,153.3201990369747
Foyer_Modeste,1,522,153.3201990369747
Foyer_Modeste,1,523,153.3201990369747
Foyer_Modeste,1,524,153.3201990369747
Foyer_Modeste,1,525,153.3201990369747
Foyer_Modeste,1,526,153.3201990369747
Foyer_Modeste,1,527,153.3201990369747
Foyer_Modeste,1,528,153.3201990369747
Foyer_Modeste,1,529,153.3201990369747
Foyer_Modeste,1,530,153.3201990369747
Foyer_Modeste,1,531,153.3201990369747
Foyer_Modeste,1,532,153.3201990369747
Foyer_Modeste,1,533,153.3201990369747
Foyer_Modeste,1,534,153.3201990369747
Foyer_Modeste,1,535,153.3201990369747
Foyer_Modeste,1,536,153.3201990369747
Foyer_Modeste,1,537,153.3201990369747
Foyer_Modeste,1,538,153.3201990369747
Foyer_Modeste,1,539,153.3201990369747
Foyer_Modeste,1,540,153.3201990369747
Foyer_Modeste,1,541,153.3201990369747
Foyer_Modeste,1,542,153.3201990369747
Foyer_Modeste,1,543,153.3201990369747
Foyer_Modeste,1,544,153.3201990369747
Foyer_Modeste,1,545,153.3201990369747
Foyer_Modeste,1,546,153.3201990369747
Foyer_Modeste,1,547,153.3201990369747
Foyer_Modeste,1,548,153.3201990369747
Foyer_Modeste,1,549,153.3201990369747
Foyer_Modeste,1,550,153.3201990369747
Foyer_Modeste,1,551,153.3201990369747
Foyer_Modeste,1,552,153.3201990369747
Foyer_Modeste,1,553,153.3201990369747
Foyer_Modeste,1,554,153.3201990369747
Foyer_Modeste,1,555,153.3201990369747
Foyer_Modeste,1,556,153.3201990369747
Foyer_Modeste,1,557,153.3201990369747
Foyer_Modeste,1,558,153.3201990369747
Foyer_Modeste,1,559,153.3201990369747
Foyer_Modeste,1,560,153.3201990369747
Foyer_Modeste,1,561,153.3201990369747
Foyer_Modeste,1,562,153.3201990369747
Foyer_Modeste,1,563,153.3201990369747
Foyer_Modeste,1,564,153.3201990369747
Foyer_Modeste,1,565,153.3201990369747
Foyer_Modeste,1,566,153.3201990369747
Foyer_Modeste,1,567,153.3201990369747
Foyer_Modeste,1,568,153.3201990369747
Foyer_Modeste,1,569,153.3201990369747
Foyer_Modeste,1,570,153.3201990369747
Foyer_Modeste,1,571,153.3201990369747
Foyer_Modeste,1,572,153.3201990369747
Foyer_Modeste,1,573,153.3201990369747
Foyer_Modeste,1,574,153.3201990369747
Foyer_Modeste,1,575,153.3201990369747
Foyer_Modeste,1,576,153.3201990369747
Foyer_Modeste,1,577,153.3201990369747
Foyer_Modeste,1,578,153.3201990369747
Foyer_Modeste,1,579,153.3201990369747
Foyer_Modeste,1,580,153.3201990369747
Foyer_Modeste,1,581,153.3201990369747
Foyer_Modeste,1,582,153.3201990369747
Foyer_Modeste,1,583,153.3201990369747
Foyer_Modeste,1,584,153.3201990369747
Foyer_Modeste,1,585,153.3201990369747
