scenario,jour,bloc_30min,power_W,Wh_bloc
Foyer_Aise,7,24,201.63390563995492,100.81695281997746
Foyer_Aise,7,25,58.96826442986216,29.48413221493108
Foyer_Aise,7,26,37.13926785242696,18.56963392621348
Foyer_Aise,7,27,78.59330946239055,39.296654731195275
Foyer_Aise,7,28,150.4626098168645,75.23130490843225
Foyer_Aise,7,29,254.90555579461713,127.45277789730856
Foyer_Aise,7,30,197.81712689897452,98.90856344948726
Foyer_Aise,7,31,194.55263902303147,97.27631951151574
Foyer_Aise,7,32,249.12969757650743,124.56484878825371
Foyer_Aise,7,33,220.74909966309798,110.37454983154899
Foyer_Aise,7,34,256.1027789135984,128.0513894567992
Foyer_Aise,7,35,259.5517132862234,129.7758566431117
Foyer_Aise,7,36,287.3874258339634,143.6937129169817
Foyer_Aise,7,37,367.3223549040683,183.66117745203414
Foyer_Aise,7,38,259.87399729909623,129.93699864954812
Foyer_Aise,7,39,347.4309494330482,173.7154747165241
Foyer_Aise,7,40,340.1556704276643,170.07783521383215
Foyer_Aise,7,41,515.0397516397933,257.51987581989664
Foyer_Aise,7,42,931.7320336869827,465.86601684349137
Foyer_Aise,7,43,1133.8909924983377,566.9454962491689
Foyer_Aise,7,44,906.8042230768444,453.4021115384222
Foyer_Aise,7,45,902.1944850285141,451.09724251425706
Foyer_Aise,7,46,923.4245879118353,461.71229395591763
Foyer_Aise,7,47,823.677709616569,411.8388548082845
Foyer_Modeste,1,0,0.0,0.0
Foyer_Modeste,1,1,0.0,0.0
Foyer_Modeste,1,2,0.0006333333333333333,0.00031666666666666665
Foyer_Modeste,1,3,0.001,0.0005
Foyer_Modeste,1,4,0.001,0.0005
Foyer_Modeste,1,5,0.001,0.0005
Foyer_Modeste,1,6,0.001,0.0005
Foyer_Modeste,1,7,0.001,0.0005
Foyer_Modeste,1,8,0.001,0.0005
Foyer_Modeste,1,9,0.001,0.0005
Foyer_Modeste,1,10,0.001,0.0005
Foyer_Modeste,1,11,0.001,0.0005
Foyer_Modeste,1,12,0.001,0.0005
Foyer_Modeste,1,13,0.001,0.0005
Foyer_Modeste,1,14,0.001,0.0005
Foyer_Modeste,1,15,0.001,0.0005
Foyer_Modeste,1,16,30.664839807394944,15.332419903697472
Foyer_Modeste,1,17,153.3201990369747,76.66009951848736
Foyer_Modeste,1,18,153.3201990369747,76.66009951848736
Foyer_Modeste,1,19,153.3201990369747,76.66009951848736
Foyer_Modeste,1,20,153.3201990369747,76.66009951848736
Foyer_Modeste,1,21,153.3201990369747,76.66009951848736
Foyer_Modeste,1,22,76.66059951848736,38.33029975924368
Foyer_Modeste,1,23,0.001,0.0005
Foyer_Modeste,1,24,0.001,0.0005
Foyer_Modeste,1,25,38.665335213181386,19.332667606590693
Foyer_Modeste,1,26,47.91641115373307,23.958205576866536
Foyer_Modeste,1,27,68.8771879196248,34.4385939598124
Foyer_Modeste,1,28,205.12223689792114,102.56111844896057
Foyer_Modeste,1,29,205.12223689792114,102.56111844896057
Foyer_Modeste,1,30,205.12223689792114,102.56111844896057
Foyer_Modeste,1,31,205.12223689792114,102.56111844896057
Foyer_Modeste,1,32,205.12223689792114,102.56111844896057
Foyer_Modeste,1,33,205.12223689792114,102.56111844896057
Foyer_Modeste,1,34,205.12223689792114,102.56111844896057
Foyer_Modeste,1,35,76.46715245776075,38.23357622888037
Foyer_Modeste,1,36,69.41946273977715,34.70973136988857
Foyer_Modeste,1,37,158.6242116555938,79.3121058277969
Foyer_Modeste,1,38,158.80226967277108,79.40113483638554
Foyer_Modeste,1,39,145.79512003381737,72.89756001690868
Foyer_Modeste,1,40,261.98222119344064,130.99111059672032
Foyer_Modeste,1,41,222.37156329032567,111.18578164516283
Foyer_Modeste,1,42,254.94764735483906,127.47382367741953
Foyer_Modeste,1,43,261.7618748303343,130.88093741516715
Foyer_Modeste,1,44,169.57081614883654,84.78540807441827
Foyer_Modeste,1,45,230.551244851557,115.2756224257785
Foyer_Modeste,1,46,18.36181426067517,9.180907130337586
Foyer_Modeste,1,47,0.0005,0.00025
Foyer_Modeste,2,0,0.0,0.0
Foyer_Modeste,2,1,0.0,0.0
Foyer_Modeste,2,2,3.3333333333333335e-05,1.6666666666666667e-05
Foyer_Modeste,2,3,0.001,0.0005
Foyer_Modeste,2,4,0.001,0.0005
